Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,16,8,23312.6015625,19450.71053504944,10.828125
switch-32,16,16,32383.412109375,26347.891330718994,10.8515625
switch-32,16,32,44236.66015625,38337.76617050171,10.935546875
switch-32,16,64,59616.984375,54911.9668006897,11.12109375
switch-32,24,8,28063.384765625,22270.05696296692,9.91015625
switch-32,24,16,43884.57421875,36850.42309761047,9.93359375
switch-32,24,32,59920.875,53430.19223213196,10.017578125
switch-32,24,64,82044.609375,74446.00343704224,10.201171875
switch-32,28,8,35861.5546875,29408.60080718994,9.421875
switch-32,28,16,48534.45703125,40896.05689048767,9.4453125
switch-32,28,32,66906.8515625,59280.603885650635,9.529296875
switch-32,28,64,89706.5078125,81548.4049320221,9.71484375

switch-64,32,8,19745.18359375,16655.694007873535,20.208984375
switch-64,32,16,26593.3125,23169.4815158844,20.23046875
switch-64,32,32,35184.12109375,31633.5928440094,20.314453125
switch-64,32,64,44712.37109375,39824.56350326538,20.521484375
switch-64,48,8,30821.373046875,27022.64380455017,18.333984375
switch-64,48,16,41849.67578125,37666.87512397766,18.35546875
switch-64,48,32,56396.5859375,51276.90815925598,18.439453125
switch-64,48,64,85731.203125,79390.38133621216,18.646484375
switch-64,56,8,33218.234375,29701.16114616394,17.396484375
switch-64,56,16,52259.61328125,46897.932291030884,17.41796875
switch-64,56,32,84824.078125,76442.91043281555,17.501953125
switch-64,56,64,92273.7109375,87066.34783744812,17.708984375

switch-128,124,4,41855.03125,33263.564109802246,1.3515625
switch-128,124,8,56997.2265625,44138.08608055115,1.365234375
switch-128,124,16,70096.0078125,54884.14478302002,1.40625
switch-128,124,32,122734.640625,100308.98237228394,1.490234375
switch-128,124,64,119698.953125,103342.39554405212,1.74609375
switch-128,120,4,27127.51171875,20652.26912498474,1.78125
switch-128,120,8,33762.90234375,25286.06128692627,1.794921875
switch-128,120,16,68199.9375,52998.76046180725,1.8359375
switch-128,120,32,127612.4609375,106482.00464248657,1.919921875
switch-128,120,64,136063.53125,118554.2664527893,2.17578125
switch-128,116,4,23152.91015625,18098.528146743774,2.23046875
switch-128,116,8,38201.12890625,30361.340522766113,2.244140625
switch-128,116,16,57457.953125,44391.18814468384,2.28515625
switch-128,116,32,95222.65625,79983.54434967041,2.369140625
switch-128,116,64,130489.328125,110961.74216270447,2.625
switch-128,96,4,20715.251953125,16046.97036743164,4.4375



switch-32,16,4,15748.80859375,13679.930925369263,2.673828125
switch-32,16,8,22269.1015625,17667.364597320557,2.685546875
switch-32,16,16,30452.591796875,24942.381381988525,2.7109375
switch-32,16,32,43143.828125,37156.50677680969,2.79296875
switch-32,24,4,20177.818359375,16267.225980758667,1.775390625
switch-32,24,8,28006.447265625,22725.0657081604,1.787109375
switch-32,24,16,39665.69921875,33628.94129753113,1.8125
switch-32,24,32,55066.69921875,49432.472705841064,1.89453125

switch-64,32,8,18301.076171875,15815.202713012695,4.44921875
switch-64,32,16,25623.912109375,21922.026872634888,4.470703125
